desviations_matrix_abs,subj,cond
0.0800436752979669,CRES9,CONTROL
0.075719483371781,CRES9,CONTROL
0.164290572924097,CRES9,CONTROL
0.101549389300551,CRES9,CONTROL
0.1684067103948,CRES9,CONTROL
0.0528711276159119,CRES9,CONTROL
0.029893474761944,CRES9,CONTROL
0.043173625659137,CRES9,CONTROL
0.041738483610627,CRES9,CONTROL
0.009871157141217,CRES9,CONTROL
0.042185115934123,CRES9,CONTROL
0.125728036241994,CRES9,CONTROL
0.104891739834706,CRES9,CONTROL
0.114766639984926,CRES9,CONTROL
0.181505043587123,CRES9,CONTROL
0.010697817504528,CRES9,CONTROL
0.049514968177827,CRES9,CONTROL
0.096679385686022,CRES9,CONTROL
0.037336806523054,CRES10,CONTROL
0.035094393643582,CRES10,CONTROL
0.041756001296301,CRES10,CONTROL
0.074102735859352,CRES10,CONTROL
0.0167609448500776,CRES10,CONTROL
0.063591867611441,CRES10,CONTROL
0.060334119541373,CRES10,CONTROL
0.00657024068673395,CRES10,CONTROL
0.067628073078113,CRES10,CONTROL
0.000183509330907008,CRES10,CONTROL
0.00083079896036603,CRES10,CONTROL
0.067265307253076,CRES10,CONTROL
0.00175272355386401,CRES10,CONTROL
0.003905035053169,CRES10,CONTROL
0.0207346911683222,CRES10,CONTROL
0.00354260002352202,CRES10,CONTROL
0.00297122960485102,CRES10,CONTROL
0.028674562640478,CRES10,CONTROL
0.025663485669272,CRES10,CONTROL
0.050195335884317,CRES10,CONTROL
0.0295075588416239,CRES10,CONTROL
0.0275476706966023,CRES10,CONTROL
0.0448601863490901,CRES10,CONTROL
0.022220632216691,CRES10,CONTROL
0.02537542001998,CRES10,CONTROL
0.042446500604424,CRES10,CONTROL
0.015773428453869,CRES10,CONTROL
0.000787579012913597,CRES10,CONTROL
0.016365870417469,CRES10,CONTROL
0.038150696052557,CRES10,CONTROL
0.022870242450578,CRES10,CONTROL
0.010070895844275,CRES10,CONTROL
9.74260356390033e-05,CRES10,CONTROL
0.014198309462598,CRES10,CONTROL
0.030926422268222,CRES10,CONTROL
0.047188855785588,CRES10,CONTROL
0.00645616841588803,CRES10,CONTROL
0.0071112883994589,CRES10,CONTROL
0.039271438287382,CRES10,CONTROL
0.0094491456312347,CRES10,CONTROL
0.051954977746975,CRES10,CONTROL
0.00118544344591701,CRES10,CONTROL
0.011984830801662,CRES10,CONTROL
0.0183191635432856,CRES10,CONTROL
0.00357268760253399,CRES10,CONTROL
0.0423977273660761,CRES10,CONTROL
0.0037628618149325,CRES10,CONTROL
0.054760441817633,CRES10,CONTROL
0.036962728671572,CRES10,CONTROL
0.00377700186017998,CRES10,CONTROL
0.036941509261855,CRES10,CONTROL
0.00289573046209601,CRES10,CONTROL
0.010552448475059,CRES10,CONTROL
0.020906608800212,CRES10,CONTROL
0.026388835511458,CRES10,CONTROL
0.039064493296341,CRES11,CONTROL
0.045431237741825,CRES11,CONTROL
0.042032963104879,CRES11,CONTROL
0.0862849307035221,CRES11,CONTROL
0.0140312214823271,CRES11,CONTROL
0.0271117415507519,CRES11,CONTROL
0.085794808002358,CRES11,CONTROL
0.015551808158235,CRES11,CONTROL
0.031704337488468,CRES11,CONTROL
0.000139679076569976,CRES11,CONTROL
0.021910107109286,CRES11,CONTROL
0.266214083491944,CRES11,CONTROL
0.021507003155433,CRES11,CONTROL
0.145567874387743,CRES11,CONTROL
0.0380851590064659,CRES11,CONTROL
0.016150733535008,CRES11,CONTROL
0.04042615771755,CRES11,CONTROL
0.024314863323406,CRES11,CONTROL
0.057853757415559,CRES11,CONTROL
0.074196972876435,CRES11,CONTROL
0.0322022223253969,CRES11,CONTROL
0.031738739432157,CRES11,CONTROL
0.039626962068713,CRES11,CONTROL
0.00102700356008401,CRES11,CONTROL
0.015300443169559,CRES11,CONTROL
0.033686270214563,CRES11,CONTROL
0.00216201426952201,CRES11,CONTROL
0.05061012010195,CRES11,CONTROL
0.011815527496817,CRES11,CONTROL
0.00177821916321751,CRES11,CONTROL
0.05517334500528,CRES11,CONTROL
0.024638847884462,CRES11,CONTROL
0.040992240240233,CRES11,CONTROL
0.0624498723844032,CRES11,CONTROL
0.047024626089393,CRES11,CONTROL
0.067346697840627,CRES11,CONTROL
0.0509034389259909,CRES11,CONTROL
0.0325214197406263,CRES11,CONTROL
0.0495983840182449,CRES11,CONTROL
0.0442807097913936,CRES11,CONTROL
0.0150337412725704,CRES11,CONTROL
